ordinary pakistani shocked initial news ksa granted permission airindia direct flights,negative,-0.2125
shelter food drink provided basic especially,neutral,0.0
initial flight cancelled rebooking flight cancelled,neutral,0.0
hope pay getting hotel eventually land,neutral,0.0
corruption bsnl airindia bna doge jldi hi modiji,neutral,0.0
expansion plans not solely dependent air celebi aviation strategic views,neutral,0.0
please explain,neutral,0.0
insulting behaviour airindia please suitable action stop travelling,negative,-0.116666666667
pm bus booking mumbai goa airindia flight late saying,negative,-0.3
worst flight india airindia usually flight,negative,-0.625
remove schedule terminated airindia flight goa display boards puneairport,neutral,0.0
cbcombudsman airindia interview jagmeet,neutral,0.0
india world sale airindia india follow followme like4like family,neutral,0.0
flyai spread colours peace happiness festive season airindia wishes happyholi,positive,0.7
chandrima eloquent article airindia bombing ignored,neutral,0.0
pm flies airindia not treatment uplift,neutral,0.0
airindia thanks maharaja treatment customers onboard dreamliner copenhagen,positive,0.2
ys6tw jaipur patna march psn include sr citizen child flt rescheduled missing,negative,-0.2
spread colours peace happiness festive season airindia wishes happyholi,positive,0.7
not sharing contact details,neutral,0.0
project document memorialise kanishka tragedy reports via airindia,neutral,0.0
ordeal continues customerservice airindia,neutral,0.0
assembly b787 dreamliner airindia time lapse boeinginspires,neutral,0.0
airline el al international airline association help granted access,neutral,0.0
oh okay question people background extremism invited,positive,0.5
hindu nationalist airindia communist entity,neutral,0.0
airindia recruit cabin crew,neutral,0.0
ujall dosangh theory airindia,neutral,0.0
flyai airindia remembers legend tiger pataudi kolkata premier cultural event tiger pataudi memorial,positive,0.1
elal airindia airlineindustrylobby,neutral,0.0
fly airindia time stale meals flight entertainment,positive,0.15
wish windshields enjoy beautiful sunset airindia,positive,0.625
not received reply concerned authorities refund am responsible,positive,0.2
missed connecting flight bombay due delay flight surat bombay,negative,-0.125
hate flight delayed airindia,negative,-0.8
flag carrier el al help access saudiarabia airspace compete,neutral,0.0
recruit cabin crew,neutral,0.0
evening singapore india,neutral,0.0
invites bids ipads planes period india called,neutral,0.0
blame hr psbs govt owned entities hv hr culture abt,neutral,0.0
airindia remembers legend tiger pataudi kolkata premier cultural event tiger pataudi,positive,0.1
alternate mechanism final call retaining govt stake,neutral,0.0
aviationministry readies draft eoi airindia stake,neutral,0.0
boeing arrival heathrow airport india creative boeing,positive,0.5
airindia boarding priority soldiers dis honour dey getting,neutral,0.0
stunning livery makes pretty picture especially capture form angle,positive,0.25
recruitment cabin crew managers instructors airindia,neutral,0.0
behaviour airindia please suitable action stop,positive,0.325
lucky airindia mandatory fill kyc form frequent flyers,positive,0.216666666667
boeing arrival heathrow airport india creative,positive,0.5
week goa india female travelling solo wanderlustwednesday goa airindia,neutral,0.0
time indian spies conspiracy theory rounds,neutral,0.0
awkward moment freaking aero bridges mumbai international airport airindia,negative,-0.3
airindia bombing canada bombing air,neutral,0.0
eglinski former rcmp officer chased jaspal atwal attempted assassination indian,neutral,0.0
recruitment notification cabin crew details,neutral,0.0
sense makes invest govt talking disinvestment airindia,neutral,0.0
airport delhi pm primetime terminal counters,neutral,0.0
hard capture journey mumbai bangkok vlog watch share comment,negative,-0.291666666667
tax payer money wasted feel airindia govts trim route outsource ground,negative,-0.2
globalist trudeau india politicking canadian sikh votes govt exonerated sikh,neutral,0.0
top talent thomasm booth recording airindia commercial voiceover voiceovertalent voice booknow,positive,0.25
talent thomasm booth recording airindia commercial voiceover voiceovertalent voice,neutral,0.0
fabulous service good food courteous staff legroom airlines learn,positive,0.566666666667
day february india gdp cso airindia fed niravmodi amazon transfin,neutral,0.0
include call option share purchase agreement airindia,neutral,0.0
airindia hired time cabin crew board fresh largest,positive,0.3
cooperative airlines seen,neutral,0.0
hire cabin crew,neutral,0.0
airindia plans hire cabin crew national carrier prepares induct,neutral,0.0
airindia hired time cabin crew board fresh,positive,0.3
plans hire cabin crew meet dgca,neutral,0.0
typo occurred earlier opt advt comedy comedyoferror govtjobs airindia,neutral,0.0
invites soul searching serenity airindia seatback device branding call,neutral,0.0
recruit cabin crew stockmarket,neutral,0.0
spicejet airindia plz start flight betweet varanasi surat surat varanasi buisness timing,neutral,0.0
fly fly style maharaja official airlinepartner thank,positive,0.8
ground handling co celebi plans invest india,neutral,0.0
handedness not acceptable not,neutral,0.0
govt include call options,neutral,0.0
biggest corporate tourney country india public sector badminton rohan,neutral,0.0
airindia not good idea neos sectors thin,negative,-0.375
airindia india build airport runway mumbai value air india,neutral,0.0
boarding priority soldiers dis honour dey getting,neutral,0.0
authority deal damage check counter cant help hang,neutral,0.0
hold staff named divya times information airindia,neutral,0.0
customer care doesnt deal multi airline speak rudely senior,negative,-0.3
cic narendramodi wasted money foreign travel via airindia,negative,-0.1625
airindia usp awesome seats good balanced service,positive,0.85
example jetairways takes p646 vtbs enters vecf fir via ibita knocks,neutral,0.0
quick look headlines maldives navalexercise indianocean exitpolls win,positive,0.566666666667
airindia takes block time reason not edto cleared,neutral,0.0
not good idea neos sectors,negative,-0.35
york los angeles newyork,neutral,0.0
boeing info airindia,neutral,0.0
